編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLOLKHLGFCU86DA,高寮段,1464.93,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01660000
RPPNMLOLKHLGFCU86DA,高寮南段,2977.72,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02400000
RPUNMLLKKHLGFAU76DA,慶豐段,195.00,都市：農,1,1,全筆移轉,11820004
RPPNMLOJKHLGFCU66DA,古風段,2510.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,11850000
RPPNMLOJKHLGFCU66DA,古風段,4550.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,15980000
RPPNMLOJKHLGFCU66DA,古風段,1760.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,18530000
RPPNMLOJKHLGFCU66DA,古風段,4980.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,18600000
RPPNMLOJKHLGFCU66DA,古風段,7180.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,18630000
RPPNMLPJLHLGFCU96EA,德武段,20.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,11940002
RPTNMLNJKHLGFCU96DA,古風段,15700.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,12130000
RPPNMLNKKHLGFAU09DA,下崇德段,186.05,都市：農,100,4,持分移轉,05980000
RPUOMLPLKHLGFAU37DA,慈勝段,74.65,都市：住,4,1,持分移轉,02820000
RPPNMLTJLHLGFAU17EA,大禮段,8040.00,非都市：國家公園區 ; 非都市編定：,1,1,全筆移轉,01980000
RPPNMLOLKHLGFBU86EA,東富段,87.07,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,13250001
RPRNMLOLKHLGFAU86DA,慈勝段,103.16,都市：住,1,1,全筆移轉,05020000
RPVNMLKKKHLGFCU96DA,竹田段,1184.85,非都市：特定農業區 ; 非都市編定：農牧用地,4,1,持分移轉,04710000
RPPNMLPJLHLGFCU86DA,溪埔段,5690.88,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04430000
RPXPMLPJLHLGFAU67DA,福祥段,17.00,都市：其他:道路用地,1,1,全筆移轉,10760000
RPXPMLPJLHLGFAU67DA,福祥段,48.00,都市：其他:道路用地,1,1,全筆移轉,10800000
RPTNMLOLKHLGFAU07DA,宜安段,167.43,都市：其他:兒童遊樂場用地,7,2,持分移轉,01760000
RPPNMLMJLHLGFCU66EA,源北段,1884.92,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10600000
RPPNMLMJLHLGFCU66EA,源北段,1373.34,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10610000
RPPNMLMJLHLGFCU66EA,源北段,568.96,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10620000
RPPNMLRLKHLGFBU07DA,新白陽段,2562.29,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,12890000
RPWNMLPLKHLGFAU47DA,德姆南段,1128.21,都市：其他:保護區,1,1,全筆移轉,10060002
RPUNMLMKKHLGFAU86DA,玻士岸段,2026.48,都市：農,1,1,全筆移轉,15450000
RPSNMLKKKHLGFCU66DA,源城段,213.00,非都市：特定農業區 ; 非都市編定：特定目的事業用地,1,1,全筆移轉,00130001
RPSNMLKKKHLGFCU66DA,源城段,17.00,非都市：特定農業區 ; 非都市編定：特定目的事業用地,1,1,全筆移轉,00130002
RPVNMLKKKHLGFAU76DA,國風段,3.83,都市：住,10000,1008,持分移轉,18230000
RPVNMLKKKHLGFAU76DA,國風段,24.39,都市：住,10000,1008,持分移轉,18240000
RPTOMLPLKHLGFAU27DA,路內段,53.04,都市：住,100000,1024,持分移轉,03840000
RPTNMLKKKHLGFCU76DA,源城段,98.00,非都市：特定農業區 ; 非都市編定：特定目的事業用地,1,1,全筆移轉,03120001
RPVNMLLKKHLGFAU86DA,慶豐段,195.00,都市：農,1,1,全筆移轉,11820003
RPUNMLQLKHLGFAU37DA,吉興段,7.01,都市：住,100000,5497,持分移轉,02000000
RPPNMLPLKHLGFBU96EA,大安段,76.00,都市：其他:住宅區,1,1,全筆移轉,12230004
RPPNMLPLKHLGFBU96EA,大安段,22.00,都市：其他:住宅區,1,1,全筆移轉,12230008
RPUNMLQLKHLGFAU37DA,吉興段,7.23,都市：其他:住宅區,100000,5497,持分移轉,02010000
RPUNMLKKKHLGFCU86DA,源城段,191.00,非都市：特定農業區 ; 非都市編定：特定目的事業用地,1,1,全筆移轉,03240001
RPTNMLOJLHLGFAU96DA,吳全段,16.52,都市：農,10000,201,持分移轉,09900000
RPPNMLQJLHLGFCU96DA,瑞穗段,2673.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,23530001
RPRNMLPJJHLGFAU66DA,太昌段,59.00,都市：農,1,1,全筆移轉,15590007
RPQOMLMKJHLGFAU09DA,富國段,4.12,都市：住,10000,51,持分移轉,04810000
RPPNMLPJLHLGFAU66DA,宜寧段,70.00,都市：住,1,1,全筆移轉,07300000
RPVOMLPLKHLGFAU47DA,太昌段,73.00,都市：住,1,1,全筆移轉,05490000
RPUOMLRJJHLGFAU27DA,仁禮段,2379.00,都市：其他:河川區,1,1,全筆移轉,01520000
RPUOMLRJJHLGFAU27DA,仁禮段,1.00,都市：其他:道路用地,1,1,全筆移轉,01520001
RPUOMLRJJHLGFAU27DA,仁禮段,1.00,都市：其他:道路用地,1,1,全筆移轉,01530001
RPQNMLSJJHLGFBU96DA,鳳仁段,119.00,都市：其他:住宅區,1,1,全筆移轉,10210008
RPSNMLPKJHLGFAU86DA,嘉南段,65.00,都市：商,1,1,全筆移轉,03450000
RPTNMLPKJHLGFAU96DA,仁義段,5.00,都市：其他:道路用地,1,1,全筆移轉,06800005
RPXNMLKLJHLGFAU96DA,慶豐段,48.00,都市：商,2,1,持分移轉,21460002
RPPNMLOKJHLGFCU76EA,鱉溪段,89.11,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02130000
RPWOMLOKJHLGFAU27DA,上崇德段,298.00,都市：住,1,1,全筆移轉,05390000
RPXNMLPKJHLGFAU37DA,自強段,5.63,都市：住,10000,34,持分移轉,00140000
RPRNMLPKJHLGFAU76DA,主權段,30.00,都市：住,1710,300,持分移轉,03060000
RPQOMLKLJHLGFAU98DA,林森段,67.00,都市：商,1,1,全筆移轉,35580000
RPROMLMLJHLGFAU66DA,光輝段,433.13,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04730000
RPPOMLMLJHLGFAU09DA,宜昌段,12.00,都市：其他:道路用地,1,1,全筆移轉,01880000
RPVNMLQLKHLGFAU47DA,布拉旦段,340.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01340000
RPVNMLQLKHLGFAU47DA,布拉旦段,310.73,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01350000
RPRNMLTJJHLGFAU07DA,廣賢段,54.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,23,持分移轉,01530000
RPPOMLNLJHLGFAU56DA,林森段,28.70,都市：住,10,7,持分移轉,25850000
RPTOMLKLJHLGFAU66DA,宜安段,15.88,都市：商,10000,259,持分移轉,06780000
RPPOMLNLJHLGFAU56DA,林森段,14.00,都市：商,10,7,持分移轉,25850001
RPPNMLLLJHLGFAU98EA,豐東段,136.15,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,10840002
RPPOMLKLJHLGFAU88DA,慶豐段,135.00,都市：農,1,1,全筆移轉,03340027
RPPOMLKLJHLGFAU88DA,慶豐段,18.00,都市：農,1,1,全筆移轉,03540016
RPQNMLMLJHLGFBU66EA,大興段,262.81,非都市：一般農業區 ; 非都市編定：農牧用地,100000,8842,持分移轉,06830001
