編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLNKJHLGFAU98CB,一樓平面,1200000,13.75,一樓
RPSNMLMLKIKGFAU76CB,一樓平面,1650000,13.75,一樓
RPSNMLMLKIKGFAU76CB,一樓平面,1500000,13.75,一樓
RPRNMLTJKIKGFAU27DB,其他,1800000,,一樓
RPPNMLSJKIKGFAU96DB,一樓平面,1300000,13.84,一樓
RPPNMLOLKIKGFAU66CB,一樓平面,1400000,13.74,一樓
RPQNMLTJKIKGFAU17DB,一樓平面,0,,一樓
RPRNMLNKJHLGFAU56CB,一樓平面,500000,15.00,一樓
RPPNMLLLJHLGFAU88CB,一樓平面,1200000,13.21,一樓
RPPNMLMKJHLGFAU88CB,其他,1500000,29.22,地下一樓
RPRNMLMLKIKGFAU66CB,坡道平面,2100000,16.54,地下二樓
RPPNMLSLJHLGFAU96CB,一樓平面,1600000,21.03,一樓
RPPNMLRJKIKGFAU76CB,坡道平面,1900000,24.72,地下一樓
RPPNMLLJKHLGFAU78CB,坡道平面,1800000,24.72,地下二樓
RPPNMLTJKHLGFAU96CB,坡道平面,2200000,16.54,地下一樓
RPQNMLTJKHLGFAU07CB,坡道平面,2200000,16.54,地下一樓
RPQNMLTJKHLGFAU07CB,坡道平面,250000,2.00,地下一樓
RPPNMLOJKHLGFAU09CB,升降機械,750000,19.84,一樓
RPPNMLNKKHLGFAU56DB,坡道平面,1550000,16.86,地下一樓
RPPNMLMLJHLGFAU98CB,坡道平面,1500000,23.14,地下一樓
RPPNMLQLJHLGFAU76CB,坡道平面,1900000,25.00,地下一樓
RPPNMLMKKHLGFAU98CB,坡道平面,2100000,16.54,地下二樓
