鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
花蓮市,租賃房屋,花蓮縣花蓮市國富七街３９號,0.0,,,,1141112,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0751028,54.6,0,0,0,無,無,有,26000,476,,0.0,0,,RPQNMLNKJIKGFAU56CC,,無,1141210~1171110,無,熱水器,
花蓮市,租賃房屋+車位,花蓮縣花蓮市國盛八街１０９號５樓之２,0.0,,,,1141113,土地0建物1車位2,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850517,122.25,2,2,1,有,有,有,15000,123,一樓平面,0.0,0,,RPPNMLRKJIKGFAU86CC,整棟(戶)出租,有,1141201~1161130,有,冷氣、熱水器、冰箱、瓦斯或天然氣,
新城鄉,租賃房屋,花蓮縣新城鄉民族路９３號,0.0,,,,1141115,土地0建物0車位0,全,5,透天厝,住家用,鋼筋混凝土造,1060731,37.5,7,0,7,有,無,有,8500,227,,0.0,0,,RPQNMLRKJIKGFAU96CC,分租套房,無,1141115~1151114,無,冷氣、熱水器、電視機、冰箱,一般代管
花蓮市,租賃房屋,花蓮縣花蓮市府前路７巷１１號３樓之２,0.0,,,,1141114,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1110816,154.92,3,2,2,有,無,無,25000,161,,0.0,0,車位含在共有部分,RPUNMLRKJIKGFAU37CC,整棟(戶)出租,無,1141201~1151130,有,冷氣、熱水器、瓦斯或天然氣,
花蓮市,租賃房屋,花蓮縣花蓮市林森路３６１巷８-３號,0.0,,,,1141113,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0781011,262.37,6,2,6,有,無,無,16000,61,,0.0,0,,RPQNMLRKJIKGFAU07DC,整棟(戶)出租,無,1141201~1161130,無,熱水器、洗衣機、冰箱,
花蓮市,租賃房屋,花蓮縣花蓮市國富十三街４７號,0.0,,,,1141116,土地0建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0670807,108.88,3,2,2,有,無,無,12000,110,,0.0,0,,RPPNMLSKJIKGFAU96CC,整棟(戶)出租,無,1141116~1171115,無,瓦斯或天然氣,
花蓮市,租賃房屋,花蓮縣花蓮市民享一街５０號,0.0,,,,1141117,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,,60.9,2,2,2,有,無,無,15000,246,,0.0,0,,RPQNMLSKJIKGFAU07CC,整棟(戶)出租,無,1141201~1151130,無,冷氣、熱水器,
花蓮市,租賃房屋,花蓮縣花蓮市福建街１０６巷３２號,0.0,,,,1141115,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0670303,119.16,4,2,3,有,無,有,23000,193,,0.0,0,,RPSNMLSKJIKGFAU27CC,整棟(戶)出租,無,1141201~1191130,無,冷氣、熱水器,
花蓮市,租賃房屋,花蓮縣花蓮市建林街１０７號３樓,0.0,,,,1141117,土地0建物0車位0,三層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1131218,16.52,4,0,4,有,無,有,11000,666,,0.0,0,,RPTNMLSKJIKGFAU37CC,分租套房,無,1141118~1151117,有,冷氣、熱水器、洗衣機、冰箱、網路,
花蓮市,租賃房屋,花蓮縣花蓮市進豐街５７巷７弄１８號,0.0,,,,1141116,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0870831,120.61,5,2,3,有,無,有,22000,182,,0.0,0,,RPPNMLTKJIKGFAU07CC,整棟(戶)出租,無,1141120~1161119,無,冷氣、熱水器、電視機,
花蓮市,租賃房屋,花蓮縣花蓮市國民七街５１號九樓之十五,0.0,,,,1141118,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831115,33.53,1,0,1,有,有,有,5500,164,,0.0,0,,RPQNMLTKJIKGFAU27DC,整棟(戶)出租,有,1141120~1151119,有,冷氣、熱水器、洗衣機、電視機、冰箱,
花蓮市,租賃房屋,花蓮縣花蓮市中央路四段３２２號,0.0,,,,1141118,土地0建物0車位0,全,3,透天厝,住商用,鋼鐵﹝鋼骨﹞造有牆,0950102,19.84,12,0,12,有,無,有,4500,227,,0.0,0,,RPQNMLKLJIKGFAU98CC,分租套房,無,1141227~1150626,有,冷氣、電視機,一般轉租
花蓮市,租賃房屋,花蓮縣花蓮市林森路２７３巷５弄３號,0.0,,,,1141118,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0690907,103.5,3,2,2,有,無,無,20000,193,,0.0,0,,RPPNMLLLJIKGFAU09DC,整棟(戶)出租,無,1141201~1161130,無,冷氣,
花蓮市,租賃房屋,花蓮縣花蓮市文光街３１號,0.0,,,,1141119,土地0建物1車位0,全,1,透天厝,住家用,鋼筋水泥磚木造,0620316,50.88,2,2,1,有,無,有,10000,197,,0.0,0,,RPPNMLOLJIKGFAU66CC,整棟(戶)出租,無,1141125~1151124,無,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
花蓮市,租賃房屋,花蓮縣花蓮市國民七街５１號四樓之六,0.0,,,,1141120,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831115,24.189999999999998,1,0,1,有,有,有,4400,182,,0.0,0,,RPRNMLOLJIKGFAU86CC,獨立套房,有,1141125~1151124,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
花蓮市,租賃房屋,花蓮縣花蓮市德安二街６８巷１０號二樓,0.0,,,,1141121,土地0建物1車位0,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841104,74.86,2,2,2,有,有,有,13000,174,,0.0,0,,RPTNMLOLJIKGFAU07CC,整棟(戶)出租,有,1141201~1151130,有,冷氣、熱水器、冰箱,
花蓮市,租賃房屋,花蓮縣花蓮市國興六街２８巷１之１號五樓之二,0.0,,,,1141123,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1131125,61.31,2,1,1,有,有,有,17000,277,,0.0,0,合約租金每月18000元含管理費，實際月租金=18000-1000管理費=17000元,RPUNMLOLJIKGFAU17CC,整棟(戶)出租,無,1141124~1151123,有,冷氣、熱水器、洗衣機、電視機、冰箱,
吉安鄉,租賃房屋,花蓮縣吉安鄉中興路３２５巷３號,0.0,,,,1141124,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0630723,104.76,3,2,2,有,無,有,23000,220,,0.0,0,,RPVNMLOLJIKGFAU27CC,整棟(戶)出租,無,1141201~1151130,無,冷氣、熱水器、洗衣機、電視機、冰箱,
花蓮市,租賃房屋,花蓮縣花蓮市富裕二街９５號三樓之一,0.0,,,,1141124,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1140704,58.2,1,0,1,有,無,有,13500,232,,0.0,0,,RPPNMLPLJIKGFAU76CC,整棟(戶)出租,無,1141205~1151204,有,冷氣、熱水器、洗衣機、網路,一般包租
吉安鄉,租賃房屋,花蓮縣吉安鄉中原路一段１１０巷３２號,0.0,,,,1141117,土地0建物1車位0,全,3,透天厝,工廠、宿舍、倉庫,鋼筋混凝土造,0810311,245.77,4,2,3,有,無,無,23000,94,,0.0,0,電視櫃2件茶几1件餐桌椅1組床組3件衣櫃2組排油煙機1件流理台1件,RPQNMLPLJIKGFAU86CC,整棟(戶)出租,無,1141218~1191217,無,冷氣、電視機、冰箱、瓦斯或天然氣,
