編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLRKJIKGFAU86CC,一樓平面,0,,一樓
RPPNMLRKJIKGFAU86CC,一樓平面,0,,一樓
RPQNMLMKKIKGFAU56CC,升降機械,0,,一樓
RPVNMLQKKIKGFAU47CC,坡道平面,0,,地下一樓
RPPNMLSKKIKGFCU27CC,一樓平面,2000,3.58,一樓
RPTNMLMLKIKGFAU96CC,一樓平面,1500,13.94,一樓
RPTNMLOLKIKGFAU17CC,一樓平面,0,,一樓
RPPNMLQJJHLGFAU66CC,坡道平面,0,,地下一樓
RPQNMLPKJHLGFAU76CC,坡道平面,0,28.64,地下二樓
RPPOMLTKJHLGFAU17CC,坡道平面,0,26.47,一樓
RPSNMLMJKHLGFAU66CC,其他,2000,15.30,一樓
RPTNMLNLKHLGFAU07CC,坡道平面,0,,地下一樓
RPUNMLNJLHLGFAU07CC,一樓平面,0,,一樓
