鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
台東市,土地,建國段835-1地號,61.42,住,,,1150202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1100000,17909,,0.0,0,包含:未辦保存登記房屋一間台東市昆明街94號,RPXNMLMJKHLGFAV17DA,0.0,0.0,0.0,無,001
東河鄉,土地,高原段1372地號,1230.0,,森林區,農牧用地,1150205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,407,,0.0,0,,RPTNMLTJKHLGFBV57DA,0.0,0.0,0.0,無,
成功鎮,土地,忠智段100-4地號,45.06,住,,,1150209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,681000,15113,,0.0,0,,RPPNMLNKKHLGFBV66DA,0.0,0.0,0.0,無,
台東市,房地(土地+建物),臺東縣台東市精誠路３４３巷３號,63.0,住,,,1150205,土地1建物1車位0,全,一層,透天厝,住家用,木造蓋瓦,0501027,42.71,2,1,1,有,無,760000,17794,,0.0,0,,RPSNMLNLKHLGFAV96DA,42.71,0.0,0.0,無,
成功鎮,土地,忠仁段208-12地號,392.22,住,,,1150204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,2040,,0.0,0,原保地急買急賣；,RPPNMLLKKHLGFBV09DA,0.0,0.0,0.0,無,
東河鄉,土地,北八里段178地號,1230.34,,風景區,農牧用地,1150204,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1350000,1097,,0.0,0,,RPRNMLPLKHLGFBV17DA,0.0,0.0,0.0,無,002
成功鎮,土地,玉港段204地號,550.17,,風景區,農牧用地,1150210,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,680000,1236,,0.0,0,,RPPNMLKKKHLGFBV98DA,0.0,0.0,0.0,無,
台東市,土地,建業段178地號,228.7,住,,,1150206,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1488496,6509,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOJLHLGFAV66DA,0.0,0.0,0.0,無,003
東河鄉,土地,萬年段938-2地號,354.0,,鄉村區,乙種建築用地,1150211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3350000,9463,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPTNMLPLKHLGFBV37DA,0.0,0.0,0.0,無,
鹿野鄉,土地,龍田段556-2地號,81.1,住,,,1150203,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1468409,18106,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLPJKHLGFCV86DA,0.0,0.0,0.0,無,004
