鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
台東市,房地(土地+建物)+車位,臺東縣臺東市志航一街32號對面附近,32.05,住,,,1141113,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.78,2,2,1,有,無,8500000,87861,一樓平面,10.28,900000,,RPQNMLSKJIKGFAV07CB,御品苑,4B號,
台東市,房地(土地+建物)+車位,臺東縣臺東市山西路一段298巷11號對面,22.67,住,,,1141117,土地3建物1車位1,五層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,93.53,2,1,2,有,無,7380000,86454,其他,13.95,500000,,RPQNMLMJKIKGFAV09CB,時年善美 龍騰華廈,5C號,
台東市,房地(土地+建物)+車位,臺東縣臺東市山西路一段298巷11號對面,31.49,住,,,1141118,土地3建物1車位1,六層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,136.11,3,2,2,有,無,10950000,90917,一樓平面,25.57,900000,,RPRNMLMJKIKGFAV56CB,時年善美 龍騰華廈,6A號,
台東市,房地(土地+建物)+車位,臺東縣臺東市山西路一段298巷11號對面,25.25,住,,,1141113,土地3建物1車位1,六層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,114.22,2,2,2,有,無,9050000,93063,其他,25.57,800000,,RPSNMLMJKIKGFAV66CB,時年善美 龍騰華廈,6B號,
台東市,房地(土地+建物)+車位,臺東縣臺東市山西路一段298巷11號對面,35.39,住,,,1141130,土地3建物1車位1,七層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,149.81,3,2,2,有,無,11700000,86929,一樓平面,25.57,900000,,RPQNMLNJKIKGFAV56CB,時年善美 龍騰華廈,7C號,
台東市,房地(土地+建物)+車位,臺東縣臺東市山西路一段298巷11號對面,22.67,住,,,1141129,土地3建物1車位1,六層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,93.53,2,1,2,有,無,7480000,87710,其他,13.95,500000,,RPRNMLNJKIKGFAV66CB,時年善美 龍騰華廈,6C號,
台東市,房地(土地+建物)+車位,臺東縣臺東市山西路一段298巷11號對面,25.49,住,,,1141118,土地3建物1車位1,六層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,115.03,2,2,2,有,無,8850000,88867,一樓平面,25.57,900000,,RPSNMLNJKIKGFAV76CB,時年善美 龍騰華廈,6D號,
台東市,房地(土地+建物)+車位,臺東縣臺東市山西路一段298巷11號對面,31.49,住,,,1141118,土地3建物1車位1,五層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,136.11,3,2,2,有,無,10950000,90917,一樓平面,25.57,900000,,RPTNMLNJKIKGFAV86CB,時年善美 龍騰華廈,5A號,
台東市,房地(土地+建物)+車位,臺東縣臺東市中興路三段,24.02,住,,,1141118,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.59,2,2,1,有,無,6550000,79981,一樓平面,22.2,1400000,車位編號:17,RPPNMLOJKIKGFAV56CB,三銳大和3,E棟3號,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段與杭州街口,43.63,住,,,1141115,土地2建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,181.98,3,2,2,有,無,17220000,102276,坡道平面,27.3,1400000,,RPPNMLMKKIKGFAV09CB,景福維美,A棟9A2號,
台東市,房地(土地+建物)+車位,臺東縣臺東市志航二街163號旁,58.95,住,,,1141212,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,129.94,3,2,2,有,無,11800000,90811,其他,0.0,0,,RPPNMLQKKIKGFAV86CB,心棧五期,A棟5A1號,
關山鎮,房地(土地+建物)+車位,臺東縣關山鎮信義路76號旁,35.26,住,,,1141220,土地2建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.15,2,1,2,有,無,7895000,93175,升降機械,9.32,550000,,RPQNMLKLKIKGFCV76DB,觀山美二,二棟4D號,
台東市,房地(土地+建物)+車位,臺東縣臺東市山西路一段298巷11號對面,22.67,住,,,1141211,土地3建物1車位1,二層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,93.53,2,1,2,有,無,6880000,80171,其他,13.95,500000,,RPPNMLNLKIKGFAV66CB,時年善美 龍騰華廈,2C號,
台東市,房地(土地+建物)+車位,臺東縣臺東市山西路一段298巷11號對面,30.95,住,,,1141215,土地3建物1車位1,三層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,134.22,3,2,2,有,無,10140000,85964,其他,25.57,800000,,RPQNMLSLKIKGFAV27CB,時年善美 龍騰華廈,3E號,
台東市,房地(土地+建物)+車位,臺東縣臺東市志航路一段477巷37弄12號旁,79.6,住,住宅區,,1141205,土地1建物1車位1,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,180.82,4,2,5,有,無,16500000,91251,其他,0.0,0,目前興安段363地號，尚未進行分割，預售屋買賣契約所填寫土地面積為建造執照所登記之面積，土地分割以地政機關分割後新地號及新面積辦理登記。此戶登記之房屋面積為建築師未來辦理建造執照變更所登記之面積。,RPPNMLLMKIKGFAV56CB,心綻2,1棟D號,
台東市,房地(土地+建物)+車位,臺東縣臺東市志航路一段477巷37弄12號旁,79.25,住,住宅區,,1141207,土地1建物1車位1,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,151.44,4,2,5,有,無,13800000,91125,其他,0.0,0,目前興安段363地號土地面積為:485.76平方公尺，尚未進行分割，預售屋買賣契約所填寫土地面積為建造執照所登記之面積。,RPQNMLLMKIKGFAV66CB,心綻2,1棟B號,
台東市,房地(土地+建物)+車位,臺東縣臺東市永福路130號旁,15.23,商,,,1141231,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,115.16,2,2,1,有,無,8900000,96822,坡道平面,33.67,1010000,,RPRNMLLMKIKGFAV76CB,賦麗琚,甲棟8E號,
台東市,房地(土地+建物)+車位,臺東縣臺東市山西路一段298巷11號對面,30.95,住,,,1141228,土地3建物1車位1,二層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,134.22,3,2,2,有,無,10110000,85688,其他,25.57,800000,,RPPNMLQKJHLGFAV76CB,時年善美 龍騰華廈,2E號,
台東市,房地(土地+建物)+車位,臺東縣臺東市志航路一段477巷37弄12號旁,79.42,住,住宅區,,1150109,土地1建物1車位1,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,151.44,4,2,5,有,無,13900000,91786,其他,0.0,0,目前興安段363地號土地面積為:485.76平方公尺，尚未進行分割，預售屋買賣契約所填寫土地面積為建造執照所登記之面積，土地分割以地政機關分割後新地號及新面積辦理登記。,RPPNMLRKJHLGFAV86CB,心綻2,1棟C號,
台東市,房地(土地+建物)+車位,臺東縣臺東市志航路一段477巷37弄12號旁,83.56,住,住宅區,,1150117,土地1建物1車位1,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,154.58,4,2,5,有,無,14800000,95743,其他,0.0,0,目前興安段363地號土地面積為:485.76平方公尺，尚未進行分割，預售屋買賣契約所填寫土地面積為建造執照所登記之面積，土地分割以地政機關分割後新地號及新面積辦理登記。,RPPNMLKLJHLGFAV88CB,心綻2,1棟A號,
台東市,房地(土地+建物)+車位,臺東縣臺東市安和路102巷12號附近,34.38,住,,,1150122,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.82,2,2,2,有,無,9650000,84894,一樓平面,13.75,900000,,RPPNMLRLJHLGFAV96CB,欣贊D電梯公寓,D棟3A號,
