編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLMKKHLGFAW56DA,10,31.94,集合住宅,鋼筋混凝土造,104年10月2日,三層,二層 陽台,全筆移轉
RPPNMLMKKHLGFAW56DA,10,2.92,共有部分：本共有部分之項目有樓梯間一項。,鋼筋混凝土造,104年10月2日,三層,,持分移轉
RPRNMLKKKHLGFAW56DA,31,73.28,住家用,鋼筋混凝土加強磚造,84年6月15日,一層,一層 騎樓,全筆移轉
RPQNMLNJLHLGFAW86EA,1,98.23,集合住宅,鋼筋混凝土造,114年1月22日,五層,五層 陽台,全筆移轉
RPQNMLNJLHLGFAW86EA,1,16.53,集合住宅：本共有部分之項目計有安全梯、電梯、梯廳等３項。,鋼筋混凝土造,114年1月22日,五層,,持分移轉
RPQNMLOJLHLGFAW86DA,,60.60,集合住宅,鋼筋混凝土造,114年8月19日,五層,三層 陽台,全筆移轉
RPQNMLOJLHLGFAW86DA,,26.33,集合住宅：本共有部分項目有蓄水池、發電機室＆消防機械室、電信室、梯廳、無障礙昇降機、管委會空間、水塔間、無障礙通路、法定無障礙停車位、法定平面停車位、增設平面停車位、雨水貯集滯洪池及迴轉空間等１３項。,鋼筋混凝土造,114年8月19日,五層,,持分移轉
RPQNMLTJJHLGFAW17DA,2,37.18,集合住宅,鋼筋混凝土造,113年4月29日,四層,二層 陽台,持分移轉
RPQNMLTJJHLGFAW17DA,2,15.57,集合住宅：本共有部分項目有樓梯間、機房、梯廳、門廳（管委會使用空間）、停車空間等５項。,鋼筋混凝土造,113年4月29日,四層,,持分移轉
RPUNMLKKKHLGFAW86DA,,81.75,集合住宅,鋼筋混凝土造,114年8月19日,五層,五層 陽台,全筆移轉
RPUNMLKKKHLGFAW86DA,,58.35,集合住宅：本共有部分項目有蓄水池、發電機室＆消防機械室、電信室、梯廳、無障礙昇降機、管委會空間、水塔間、無障礙通路、法定無障礙停車位、法定平面停車位、增設平面停車位、雨水貯集滯洪池及迴轉空間等１３項。,鋼筋混凝土造,114年8月19日,五層,,持分移轉
RPQNMLQJKHLGFAW96DA,8,209.19,集合住宅,鋼筋混凝土造,107年6月27日,三層,一層 二層 三層 陽台 屋頂突出物 雨遮,全筆移轉
RPQNMLQJKHLGFAW96DA,8,87.32,共有部分：本共有部分之項目有台電配電場所、發電機室、消防機房、消防水池、梯廳、水箱機房、雨水貯集池、停車空間、車道、機房、梯間、樓電梯間及梯間（Ａ梯）等１３項。,鋼筋混凝土造,107年6月27日,三層,,持分移轉
SPSNMLKLJHLGFAW76DA,1,191.44,住家用,鋼筋混凝土造,113年11月18日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPPNMLMJKHLGFAW09DA,,81.64,集合住宅,鋼筋混凝土造,114年12月18日,三層,二層 陽台,全筆移轉
RPPNMLMJKHLGFAW09DA,,9.58,集合住宅：本共有部分項目有樓梯間等１項。,鋼筋混凝土造,114年12月18日,三層,,持分移轉
RPSNMLKLJHLGFAW66DA,1,191.44,住家用,鋼筋混凝土造,113年11月18日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPRNMLSLJHLGFAW37DA,1,114.39,集合住宅,鋼筋混凝土造,114年3月18日,五層,五層 陽台,全筆移轉
RPRNMLSLJHLGFAW37DA,1,38.65,集合住宅：本建物共有部分項目有梯廳、安全梯及水塔間等３項。,鋼筋混凝土造,114年3月18日,五層,,持分移轉
RPPNMLNJLHLGFAW66DA,10,142.64,住家用,鋼筋混凝土造,105年6月6日,三層,一層 二層 三層 陽台,全筆移轉
RPPNMLQLJHLGFAW96DA,1,71.09,集合住宅,鋼筋混凝土造,113年8月19日,五層,二層 陽台,全筆移轉
RPPNMLQLJHLGFAW96DA,1,15.38,店舖、集合住宅：本共有部分項目有機械停車位、管委會空間、梯廳、安全梯及電信室等５項。,鋼筋混凝土造,113年8月19日,五層,,持分移轉
RPRNMLPKJHLGFAW96DA,,87.89,集合住宅,鋼筋混凝土造,114年11月20日,五層,一層 陽台,全筆移轉
RPRNMLPKJHLGFAW96DA,,15.60,集合住宅：本建物共有部分項目有梯廳、樓梯間及機房等３項。,鋼筋混凝土造,114年11月20日,五層,,持分移轉
RPSNMLPKJHLGFAW07DA,15,31.02,集合住宅,鋼筋混凝土造,99年11月8日,四層,四層 陽台 雨遮,全筆移轉
RPSNMLPKJHLGFAW07DA,15,4.86,共有部分，本共有部分之項目有樓梯間、雨遮等２項,鋼筋混凝土造,99年11月8日,四層,,持分移轉
RPQNMLPKJHLGFAW86DA,,128.47,集合住宅,鋼筋混凝土造,114年9月25日,三層,三層 陽台,全筆移轉
RPQNMLPKJHLGFAW86DA,,20.04,集合住宅：本建物共有部分項目有無障礙電梯、梯廳、電梯機房及樓梯間等４項。,鋼筋混凝土造,114年9月25日,三層,,持分移轉
RPQNMLRJJHLGFAW96DA,10,41.29,集合住宅,鋼筋混凝土造,104年11月25日,八層,八層 陽台,全筆移轉
