鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
金寧鄉,房地(土地+建物),金門縣金寧鄉長寮段37-1地號,40.08,其他,,,1141119,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.63,3,2,2,有,無,6600000,69016,,0.0,0,,RPPNMLKLJIKGFAW98CB,金門縣金寧鄉長寮段37-1地號集合住宅新建工程,C15F棟15號,
金寧鄉,房地(土地+建物),金門縣金寧鄉下后垵測段11-2、11-10地號,42.61,其他,,,1141121,土地2建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,99.39,3,2,2,有,無,8400000,84516,,0.0,0,,RPPNMLLLJIKGFAW56DB,雙和建設下后垵測段11-2、11-10地號集合住宅,A棟A2號,
金寧鄉,房地(土地+建物),金門縣金寧鄉下后垵測段11-2、11-10地號,42.61,其他,,,1141121,土地2建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,99.39,3,2,2,有,無,8700000,87534,,0.0,0,,RPQNMLLLJIKGFAW66DB,雙和建設下后垵測段11-2、11-10地號集合住宅,A棟A4號,
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190-1、190-4、188-7地號,26.98,其他,,,1141120,土地3建物1車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,67.61,2,2,2,有,無,5930000,87709,,0.0,0,含法定車位約定車位編號8號,RPPNMLOLJIKGFAW76CB,金門縣金寧鄉盤山村測段190-1、190-4、188-7地號集合住宅新建工程,B1棟21號,
金寧鄉,房地(土地+建物),金門縣金寧鄉長寮段37-1地號,42.32,其他,,,1141123,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,100.97,3,2,2,有,無,6800000,67347,,0.0,0,,RPQNMLOLJIKGFAW86CB,金門縣金寧鄉長寮段37-1地號集合住宅新建工程,C22F棟22號,
金寧鄉,房地(土地+建物),金門縣金寧鄉長寮段81地號,32.82,住,,,1141116,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,81.8,2,2,2,有,無,6050000,73961,,0.0,0,,RPQNMLRLJIKGFAW17CB,瓊安學苑,A1B1棟C3號,
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190-1、190-4、188-7地號,35.54,其他,,,1141128,土地3建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,89.07,3,2,2,有,無,7580000,85102,,0.0,0,含法定車位約定車位編號1號,RPPNMLSLJIKGFAW17CB,金門縣金寧鄉盤山村測段190-1、190-4、188-7地號集合住宅新建工程,B24棟24號,
金城鎮,房地(土地+建物)+車位,金門縣金城鎮祥豐段0022-0000地號,19.09,住,,,1141111,土地1建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.3,3,2,2,有,無,16380000,107709,升降平面,29.15,1500000,本交易案件法定車位使用編號為3號,RPQNMLKMJIKGFAW66DB,祥豐賦邑,A棟9F號,
金城鎮,房地(土地+建物)+車位,金門縣金城鎮祥豐段0022-0000地號,19.29,住,,,1141113,土地1建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.1,3,2,2,有,無,16300000,105752,升降平面,29.15,1500000,本案件法定車位使用編號為16號土地持分範圍為198/10000，因系統自動四捨五入，原契約書計算面積為19.28平方公尺，有差額0.01平方公尺。,RPRNMLKMJIKGFAW76DB,祥豐賦邑,C棟8F號,
