編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLSLJIKGFAW17CB,盤山村測段,32.75,都市：其他:自然村專用區,100000,5038,持分移轉,01900001
RPPNMLSLJIKGFAW17CB,盤山村測段,.76,都市：其他:自然村專用區,100000,5038,持分移轉,01900004
RPPNMLSLJIKGFAW17CB,盤山村測段,2.03,都市：其他:自然村專用區,100000,5038,持分移轉,01880007
RPQNMLOLJIKGFAW86CB,長寮段,42.32,都市：其他:自然村專用區,100000,10296,持分移轉,00370001
RPPNMLNLKIKGFAW76CB,盤山村測段,33.34,都市：其他:自然村專用區,100000,5129,持分移轉,01900001
RPPNMLNLKIKGFAW76CB,盤山村測段,.77,都市：其他:自然村專用區,100000,5129,持分移轉,01900004
RPPNMLNLKIKGFAW76CB,盤山村測段,2.07,都市：其他:自然村專用區,100000,5129,持分移轉,01880007
RPPNMLTLKIKGFAW37CB,盤山村測段,33.34,都市：其他:自然村專用區,100000,5129,持分移轉,01900001
RPPNMLTLKIKGFAW37CB,盤山村測段,.77,都市：其他:自然村專用區,100000,5129,持分移轉,01900004
RPPNMLTLKIKGFAW37CB,盤山村測段,2.07,都市：其他:自然村專用區,100000,5129,持分移轉,01880007
RPPNMLOLJIKGFAW76CB,盤山村測段,24.86,都市：其他:自然村專用區,100000,3824,持分移轉,01900001
RPPNMLOLJIKGFAW76CB,盤山村測段,.58,都市：其他:自然村專用區,100000,3824,持分移轉,01900004
RPPNMLOLJIKGFAW76CB,盤山村測段,1.54,都市：其他:自然村專用區,100000,3824,持分移轉,01880007
RPPNMLKLJIKGFAW98CB,長寮段,40.08,都市：其他:自然村專用區,100000,9751,持分移轉,00370001
RPPNMLSJKIKGFAW07CB,大橋湖峰段,20.15,都市：住,1000000,12766,持分移轉,00830000
RPQNMLRLJIKGFAW17CB,長寮段,32.82,都市：住,10000,502,持分移轉,00810000
RPQNMLNLKIKGFAW86CB,盤山村測段,33.34,都市：其他:自然村專用區,100000,5129,持分移轉,01900001
RPQNMLNLKIKGFAW86CB,盤山村測段,.77,都市：其他:自然村專用區,100000,5129,持分移轉,01900004
RPQNMLNLKIKGFAW86CB,盤山村測段,2.07,都市：其他:自然村專用區,100000,5129,持分移轉,01880007
RPPNMLNLKHLGFAW76CB,榜林村測段,49.82,都市：其他:自然村專用區,1000,53,持分移轉,00500001
RPPNMLKLJHLGFAW98CB,大橋湖峰段,5.17,都市：住,1000000,3277,持分移轉,00830000
RPQNMLMKJHLGFAW66DB,長寮段,49.25,都市：其他:自然村專用區,1,1,全筆移轉,05140014
RPQNMLMKJHLGFAW66DB,長寮段,19.56,都市：其他:自然村專用區,10000,637,持分移轉,05140000
RPRNMLMKJHLGFAW76DB,長寮段,43.72,都市：其他:自然村專用區,1,1,全筆移轉,05140007
RPRNMLMKJHLGFAW76DB,長寮段,19.13,都市：其他:自然村專用區,10000,623,持分移轉,05140000
RPRNMLSJJHLGFAW27DB,祥豐段,19.29,都市：住,10000,198,持分移轉,00220000
RPQNMLTLKIKGFAW57DB,祥豐段,19.09,都市：住,10000,196,持分移轉,00220000
RPPNMLSJJHLGFAW07DB,祥豐段,19.68,都市：住,10000,202,持分移轉,00220000
RPUNMLKMJIKGFAW07DB,祥豐段,19.09,都市：住,10000,196,持分移轉,00220000
RPQNMLKMJIKGFAW66DB,祥豐段,19.09,都市：住,10000,196,持分移轉,00220000
RPSNMLKMJIKGFAW86DB,祥豐段,19.68,都市：住,10000,202,持分移轉,00220000
RPVNMLSJJHLGFAW67DB,祥豐段,19.29,都市：住,10000,198,持分移轉,00220000
RPRNMLKMJIKGFAW76DB,祥豐段,19.29,都市：住,10000,198,持分移轉,00220000
RPTNMLKMJIKGFAW96DB,祥豐段,19.09,都市：住,10000,196,持分移轉,00220000
RPPNMLLLJIKGFAW56DB,下后垵測段,36.03,都市：其他:自然村專用區,98581,9939,持分移轉,00110002
RPPNMLLLJIKGFAW56DB,下后垵測段,6.58,都市：其他:自然村專用區,98581,9939,持分移轉,00110010
RPPNMLTLKIKGFAW47DB,祥豐段,19.68,都市：住,10000,202,持分移轉,00220000
RPUNMLSJJHLGFAW57DB,祥豐段,19.68,都市：住,10000,202,持分移轉,00220000
RPTNMLSJJHLGFAW47DB,祥豐段,19.68,都市：住,10000,202,持分移轉,00220000
RPQNMLLLJIKGFAW66DB,下后垵測段,36.03,都市：其他:自然村專用區,98581,9939,持分移轉,00110002
RPQNMLLLJIKGFAW66DB,下后垵測段,6.58,都市：其他:自然村專用區,98581,9939,持分移轉,00110010
RPQNMLSJJHLGFAW17DB,祥豐段,19.09,都市：住,10000,196,持分移轉,00220000
