編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLSJKIKGFAW07CB,坡道平面,1500000,24.75,地下一樓
RPPNMLNLKHLGFAW76CB,一樓平面,0,,一樓
RPRNMLSJJHLGFAW27DB,升降平面,1500000,26.79,地下一樓
RPPNMLSJJHLGFAW07DB,升降平面,1500000,29.15,地下一樓
RPUNMLKMJIKGFAW07DB,升降平面,1500000,29.15,地下一樓
RPQNMLKMJIKGFAW66DB,升降平面,1500000,29.15,地下一樓
RPSNMLKMJIKGFAW86DB,升降平面,1500000,29.15,地下一樓
RPVNMLSJJHLGFAW67DB,升降平面,1500000,29.15,地下二樓
RPRNMLKMJIKGFAW76DB,升降平面,1500000,29.15,地下一樓
RPQNMLSJJHLGFAW17DB,升降平面,1500000,29.15,地下一樓
