鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
馬公市,房地(土地+建物),澎湖縣馬公市文山路３５８巷３８號,54.73,住,,,1150202,土地2建物1車位0,一層，二層，三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0801012,138.57,4,1,3,有,無,5350000,38609,,0.0,0,,RPRNMLPJKHLGFAX07DA,138.57,0.0,0.0,無,001
馬公市,土地,後寮中段727地號,360.01,,一般農業區,甲種建築用地,1150205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1260000,3500,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLNLKHLGFAX27DA,0.0,0.0,0.0,無,
白沙鄉,土地,鳥嶼新段550地號,22.1,,鄉村區,乙種建築用地,1150213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,142000,6425,,0.0,0,政府機關標讓售；,RPSNMLNLKHLGFAX17DA,0.0,0.0,0.0,無,
馬公市,土地,北極段1174地號,25.98,住,,,1150203,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,846169,32570,,0.0,0,政府機關標讓售；,RPQNMLMKKHLGFAX76DA,0.0,0.0,0.0,無,
湖西鄉,土地,尖山南段867地號,1405.47,,一般農業區,農牧用地,1150204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6800000,4838,,0.0,0,,RPPNMLOJLHLGFAX86DA,0.0,0.0,0.0,無,
湖西鄉,土地,湖西北段789地號,556.84,,一般農業區,農牧用地,1150202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2688000,4827,,0.0,0,地清或未辦繼承標售；,RPUNMLOJLHLGFAX37DA,0.0,0.0,0.0,無,
馬公市,土地,西澳段940地號,63.31,住,,,1150224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4998958,78960,,0.0,0,政府機關標讓售；,RPQNMLOJLHLGFAX96DA,0.0,0.0,0.0,無,
馬公市,土地,北極段309地號,8.86,住,,,1150211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,240815,27180,,0.0,0,政府機關標讓售；,RPPNMLQJLHLGFAX07DA,0.0,0.0,0.0,無,
西嶼鄉,土地,竹灣段1779地號,3415.17,,一般農業區,農牧用地,1150105,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1600000,468,,0.0,0,土地為農業用地檢附農業用地作農業使用證明書依土地稅法第39條之2第1項規定不課徵土地增值稅親友、員工、共有人或其他特殊關係間之交易；,RPRNMLSJJHLGFAX27DA,0.0,0.0,0.0,無,002
馬公市,房地(土地+建物),澎湖縣馬公市惠民一路８號,76.0,商,,,1150106,土地3建物1車位0,全,二層,透天厝,住商用,鋼筋加強造,0661126,87.04,2,2,2,有,無,10600000,121783,,0.0,0,,RPTNMLSJJHLGFAX47DA,87.04,0.0,0.0,無,003
湖西鄉,土地,湖西南段121地號,39.9,,鄉村區,乙種建築用地,1150112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,480000,12030,,0.0,0,,RPPNMLNKJHLGFAX76EA,0.0,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市水源路２之１號四樓之二,3.31,商,,,1150106,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0850828,34.19,1,1,1,有,無,1600000,46797,,0.0,0,,RPQNMLQJJHLGFAX96DA,20.87,4.19,0.0,有,004
馬公市,房地(土地+建物),澎湖縣馬公市文林街３６號,68.32,住,,,1150106,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0670823,73.75,4,1,2,有,無,6120000,82983,,0.0,0,,RPPNMLSJJHLGFAX07DA,73.75,0.0,0.0,無,
馬公市,土地,西澳段406地號,72.94,住,,,1150108,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1800000,24678,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKLJHLGFAX09DA,0.0,0.0,0.0,無,
馬公市,土地,文光段1000地號,230.32,住,,,1150108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,25600000,111150,,0.0,0,,RPVNMLSJJHLGFAX67DA,0.0,0.0,0.0,無,
西嶼鄉,房地(土地+建物),澎湖縣西嶼鄉小門１７之１號,267.57,,鄉村區,乙種建築用地,1150107,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0700200,166.16,4,2,2,有,無,3500000,21064,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLRJJHLGFAX37DA,166.16,0.0,0.0,無,
湖西鄉,土地,中西段393地號,354.03,,一般農業區,農牧用地,1150113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1600000,4519,,0.0,0,,RPQNMLNLJHLGFAX86DA,0.0,0.0,0.0,無,
馬公市,土地,五德西段197地號,238.06,,鄉村區,乙種建築用地,1150117,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2736380,11494,,0.0,0,,RPPNMLQLJHLGFAX07DA,0.0,0.0,0.0,無,005
白沙鄉,土地,城前新段257地號,72.94,,一般農業區,農牧用地,1150105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,96000,1316,,0.0,0,地清或未辦繼承標售；,RPSNMLNLJHLGFAX07DA,0.0,0.0,0.0,無,
西嶼鄉,土地,二崁南段336地號,277.34,都市：其他:菜宅專用區,,,1150116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,7211,,0.0,0,本案為賣方賣清案件。,RPQNMLRLJHLGFAX27DA,0.0,0.0,0.0,無,
湖西鄉,房地(土地+建物),澎湖縣湖西鄉鼎灣６１號,644.94,,一般農業區,農牧用地,1150112,土地22建物1車位0,全,一層,透天厝,住家用,造,,11.96,0,0,0,無,無,1000000,83612,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLPKJHLGFAX37DA,10.66,1.3,0.0,無,
湖西鄉,土地,城北段674地號,800.4,,一般農業區,交通用地,1150105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2421200,3025,,0.0,0,,RPRNMLRLJHLGFAX37DA,0.0,0.0,0.0,無,
湖西鄉,土地,城北段675地號,1585.02,,一般農業區,交通用地,1150105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4794600,3025,,0.0,0,,SPRNMLRLJHLGFAX47DA,0.0,0.0,0.0,無,
湖西鄉,土地,城北段661地號,734.28,,一般農業區,交通用地,1150105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2221100,3025,,0.0,0,,TPRNMLRLJHLGFAX57DA,0.0,0.0,0.0,無,
白沙鄉,土地,赤崁北段119地號,86.09,,鄉村區,乙種建築用地,1150115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,480000,5576,,0.0,0,,RPPNMLRLJHLGFAX17DA,0.0,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市林森路３６號四樓之二,18.55,,,,1150119,土地2建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850202,132.56,3,2,2,有,有,6100000,46017,,0.0,0,,RPUNMLRLJHLGFAX67DA,91.84,0.0,10.81,有,
西嶼鄉,土地,橫礁新段656地號,92.29,,鄉村區,乙種建築用地,1150105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,306899,3325,,0.0,0,地清或未辦繼承標售；,RPRNMLTLJHLGFAX67EA,0.0,0.0,0.0,無,
湖西鄉,土地,南寮南段794地號,2013.19,,一般農業區,農牧用地,1150116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3029000,1505,,0.0,0,,RPPNMLKMJHLGFAX56DA,0.0,0.0,0.0,無,
馬公市,土地,風櫃西段858地號,97.84,,一般農業區,甲種建築用地,1150106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,12265,,0.0,0,共有人買賣未登記建物5房3廳2衛親友、員工、共有人或其他特殊關係間之交易；未登記建物；急買急賣；,RPPNMLTLJHLGFAX47EA,0.0,0.0,0.0,無,
馬公市,土地,光榮段755地號,94.79,住,,,1150106,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8840000,93259,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKMJHLGFAX66EA,0.0,0.0,0.0,無,006
馬公市,土地,烏崁新段581地號,805.43,,一般農業區,農牧用地,1150120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1949000,2420,,0.0,0,,RPQNMLSLJHLGFAX37DA,0.0,0.0,0.0,無,
馬公市,土地,中衛段849地號,56.57,農,,,1150129,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,605299,10700,,0.0,0,協議價購；,RPRNMLOJKHLGFAX96DA,0.0,0.0,0.0,無,007
白沙鄉,土地,講美段812地號,139.06,,一般農業區,甲種建築用地,1150113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,340000,2445,,0.0,0,地清或未辦繼承標售；,RPPNMLMJKHLGFAX66EA,0.0,0.0,0.0,無,
馬公市,土地,烏崁新段600地號,2124.04,,一般農業區,農牧用地,1150126,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,2354,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLPJKHLGFAX27DA,0.0,0.0,0.0,無,
馬公市,土地,中山段272地號,42.87,住,,,1150124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2334272,54450,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLPJKHLGFAX57DA,0.0,0.0,0.0,無,008
馬公市,土地,風櫃西段300地號,9508.29,,一般農業區,農牧用地,1150116,土地8建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7800000,820,,0.0,0,,RPPNMLQJKHLGFAX07EA,0.0,0.0,0.0,無,009
湖西鄉,土地,尖山中段551-1地號,1240.95,,一般農業區,農牧用地,1150125,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4500000,3626,,0.0,0,,RPPNMLQJKHLGFAX96DA,0.0,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市大仁街３１號,30.0,商,,,1150130,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土加強磚造,0690107,123.7,4,1,3,有,無,4000000,32336,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLQJKHLGFAX17EA,123.7,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市大賢街１５６號五樓,52.53,住,,,1150105,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840119,118.83,3,2,2,有,無,4550000,38290,,0.0,0,,RPSNMLKLJHLGFAX76DA,97.68,12.74,0.0,無,
西嶼鄉,土地,大池段2908地號,142.96,,鄉村區,乙種建築用地,1150115,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,640000,4477,,0.0,0,地清或未辦繼承標售；,RPQNMLTJKHLGFAX47EA,0.0,0.0,0.0,無,
馬公市,土地,五福段1475-1地號,158.36,,鄉村區,乙種建築用地,1150103,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4300000,27153,,0.0,0,,RPSNMLRJJHLGFAX27DA,0.0,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市東文澳１０７之２３號,69.39,,鄉村區,乙種建築用地,1150105,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0721118,92.7,5,3,1,有,無,4640000,50054,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLSLJHLGFAX57DA,92.7,0.0,0.0,無,
七美鄉,土地,七美一段1地號,340.5,,一般農業區,農牧用地,1150119,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,377100,1107,,0.0,0,地清或未辦繼承標售；,RPPNMLTJKHLGFAX27DA,0.0,0.0,0.0,無,
馬公市,土地,案山段178地號,102.05,住,,,1150128,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3395700,33275,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLTJKHLGFAX37DA,0.0,0.0,0.0,無,
馬公市,土地,興仁段654地號,664.42,,一般農業區,農牧用地,1150128,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,9500000,14298,,0.0,0,,RPUNMLPJKHLGFAX37DA,0.0,0.0,0.0,無,
馬公市,土地,興仁段655地號,22.93,,一般農業區,交通用地,1150128,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,8722,,0.0,0,,RPVNMLPJKHLGFAX47DA,0.0,0.0,0.0,無,010
湖西鄉,土地,西溪新段728地號,1562.47,,一般農業區,農牧用地,1150122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1576880,1009,,0.0,0,,RPPNMLNLKHLGFAX96EA,0.0,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市林森路１００巷８號,60.89,住,,,1150116,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0661004,74.04,3,2,3,有,無,6380000,86170,,0.0,0,其他增建；,RPSNMLPLKHLGFAX37DA,74.04,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市前寮３５５之５２號,181.46,,一般農業區,甲種建築用地,1150102,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1140618,222.28,4,2,5,有,無,11100000,49937,,0.0,0,,RPQNMLPLKHLGFAX17DA,205.02,17.26,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市文昌街３６號,100.36,住,,,1150108,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0811015,226.34,5,3,3,有,無,9800000,43298,,0.0,0,,RPTNMLPLKHLGFAX47DA,223.72,2.62,0.0,無,011
馬公市,土地,文寮段366-2地號,424.03,,一般農業區,農牧用地,1150126,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2800000,6603,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLQLKHLGFAX37DA,0.0,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市朝陽路１０６巷７號,75.07,住,,,1150122,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0660216,83.0,3,2,2,有,無,5600000,67470,,0.0,0,其他增建；,RPQNMLPLKHLGFAX27EA,83.0,0.0,0.0,無,
馬公市,土地,五德東段61地號,151.6,農,,,1141201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,13193,,0.0,0,,RPQNMLSJKIKGFAX27DA,0.0,0.0,0.0,無,012
馬公市,房地(土地+建物),澎湖縣馬公市雞母塢１３０號,886.57,農,,,1141201,土地2建物1車位0,全,四層,透天厝,農業用,鋼筋混凝土造,0990517,254.74,8,1,9,有,無,11000000,43181,,0.0,0,含部分未保存建物,RPRNMLSJKIKGFAX37DA,254.74,0.0,0.0,無,013
馬公市,土地,馬公段240-1地號,2.0,住,,,1141209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,308000,154000,,0.0,0,政府機關標讓售；,RPQNMLTJKIKGFAX37DA,0.0,0.0,0.0,無,
湖西鄉,土地,潭邊新段221地號,161.93,,一般農業區,農牧用地,1141204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4080000,25196,,0.0,0,,RPRNMLTJKIKGFAX47DA,0.0,0.0,0.0,無,014
西嶼鄉,房地(土地+建物),澎湖縣西嶼鄉外垵１４９之１０號,112.8,,鄉村區,乙種建築用地,1141201,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0920120,136.17,3,1,2,有,無,1000000,7344,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTKKIKGFAX47EA,128.6,7.57,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市五福路１３８巷６５號,112.24,,一般農業區,甲種建築用地,1141202,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0870525,188.56,5,1,3,有,無,6400000,33941,,0.0,0,,RPQNMLRKKIKGFAX27DA,162.09,26.47,0.0,無,
西嶼鄉,土地,內垵二段1190地號,17.1,,鄉村區,乙種建築用地,1141201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,53000,3099,,0.0,0,未登記建物；,RPSNMLTKKIKGFAX67DA,0.0,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市石泉１之１１０號,47.53,,鄉村區,乙種建築用地,1141206,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0720118,100.62,3,2,4,有,無,3300000,32797,,0.0,0,,RPPNMLTJKIKGFAX27DA,100.62,0.0,0.0,無,015
西嶼鄉,土地,池東段537地號,119.08,,鄉村區,乙種建築用地,1141202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,305000,2561,,0.0,0,地清或未辦繼承標售；,RPPNMLSKKIKGFAX37EA,0.0,0.0,0.0,無,
湖西鄉,土地,城北段67地號,3036.3,,一般農業區,農牧用地,1141210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4251000,1400,,0.0,0,,RPSNMLKKKIKGFAX76DA,0.0,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市裡１２１號,65.98,,風景區,丙種建築用地,1141217,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0720414,94.5,3,2,2,有,無,2400000,25397,,0.0,0,,RPRNMLSKKIKGFAX47DA,94.5,0.0,0.0,無,
馬公市,土地,山水北段4地號,317.49,,一般農業區,農牧用地,1141202,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,570454,1797,,0.0,0,地清或未辦繼承標售；,RPPNMLQLKIKGFAX27EA,0.0,0.0,0.0,無,
七美鄉,房地(土地+建物),澎湖縣七美鄉古合３１號,148.38,,鄉村區,乙種建築用地,1141202,土地1建物1車位0,全,一層,透天厝,住家用,石造,,10.01,4,2,1,有,無,209780,20957,,0.0,0,建物有單獨價格2000元。地清或未辦繼承標售；,RPQNMLQLKIKGFAX37EA,10.01,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市文明路７ ５號,85.75,住,,,1141209,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0880306,186.01,4,2,5,有,無,6800000,36557,,0.0,0,,RPRNMLKMKIKGFAX86DA,178.85,7.16,0.0,無,
馬公市,土地,西澳段530地號,53.02,住,,,1141205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1800000,33949,,0.0,0,地清或未辦繼承標售；,RPTNMLKMKIKGFAX07DA,0.0,0.0,0.0,無,
湖西鄉,土地,沙港南段101地號,418.25,,一般農業區,農牧用地,1141224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,2391,,0.0,0,,RPRNMLQLKIKGFAX37DA,0.0,0.0,0.0,無,
馬公市,土地,文東段1466地號,262.94,,一般農業區,農牧用地,1141219,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,14580000,55450,,0.0,0,土地交易案件之價格含未來興建房屋成本；,RPRNMLTLKIKGFAX67DA,0.0,0.0,0.0,無,016
馬公市,土地,中衛段423地號,1107.05,工,,,1141209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,21460000,19385,,0.0,0,,RPSNMLKMKIKGFAX96DA,0.0,0.0,0.0,無,017
