編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLSJJHLGFAX47DA,48,87.04,住商用,鋼筋加強造,66年11月26日,二層,一層 二層,全筆移轉
RPQNMLQJJHLGFAX96DA,29,25.06,辦公室,鋼筋混凝土造,85年8月28日,十二層,四層 見其他登記事項,全筆移轉
RPQNMLQJJHLGFAX96DA,29,9.13,電樓梯間、避難室、停車場、門廳,鋼筋混凝土造,85年8月28日,十二層,,持分移轉
RPTNMLRJJHLGFAX37DA,,166.16,住家用,鋼筋混凝土加強磚造,70年2月0日,二層,一層 二層 騎樓,全筆移轉
RPPNMLSJJHLGFAX07DA,47,73.75,住商用,鋼筋混凝土加強磚造,67年8月23日,二層,一層 二層 電梯樓梯間,全筆移轉
RPRNMLPJKHLGFAX07DA,34,138.57,住家用,鋼筋混凝土造,80年10月12日,五層,一層 二層 三層,全筆移轉
RPUNMLRLJHLGFAX67DA,30,102.65,住家用,鋼筋混凝土造,85年2月2日,八層,四層 陽台,全筆移轉
RPUNMLRLJHLGFAX67DA,30,16.18,避難室、停車空間,鋼筋混凝土造,85年2月2日,八層,,持分移轉
RPUNMLRLJHLGFAX67DA,30,12.33,電氣室、台電受電室、電樓梯間,鋼筋混凝土造,85年2月2日,八層,,持分移轉
RPUNMLRLJHLGFAX67DA,30,1.39,門廊、門廳,鋼筋混凝土造,85年2月2日,八層,,持分移轉
RPSNMLSLJHLGFAX57DA,42,92.70,住家用,鋼筋混凝土加強磚造,72年11月18日,二層,一層 二層,全筆移轉
RPQNMLQJKHLGFAX17EA,46,123.70,住商用,鋼筋混凝土加強磚造,69年1月7日,四層,一層 二層 三層 四層 電梯樓梯間 地下層,持分移轉
RPSNMLKLJHLGFAX76DA,31,8.41,樓梯間,鋼筋混凝土造,84年1月19日,五層,,持分移轉
RPSNMLKLJHLGFAX76DA,31,110.42,集合住宅,鋼筋混凝土造,84年1月19日,五層,五層 見其他登記事項,全筆移轉
RPUNMLPKJHLGFAX37DA,,3.54,住家用,造,,一層,一層,持分移轉
RPUNMLPKJHLGFAX37DA,,3.25,住家用,造,,一層,一層 見其他登記事項,持分移轉
RPUNMLPKJHLGFAX37DA,,5.18,住家用,造,,一層,一層 見其他登記事項,持分移轉
RPPNMLTKKIKGFAX47EA,23,136.17,住家用,加強磚造,92年1月20日,二層,一層 二層 見其他登記事項,全筆移轉
RPQNMLPLKHLGFAX17DA,1,222.28,住家用,鋼筋混凝土造,114年6月18日,三層,一層 二層 三層 見其他登記事項,全筆移轉
