鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
南竿鄉,土地,仁愛段427地號,93.9,商,,,1150212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2300000,24494,,0.0,0,,RPPNMLNKKHLGFAZ96DA,0.0,0.0,0.0,無,
東引鄉,土地,東引西段52地號,2.28,住,,,1150114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6042,2650,,0.0,0,,RPPNMLPKJHLGFAZ07DA,0.0,0.0,0.0,無,
東引鄉,土地,東引西段51地號,1.89,住,,,1150114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5009,2650,,0.0,0,,RPQNMLPKJHLGFAZ17DA,0.0,0.0,0.0,無,
莒光鄉,土地,青帆段541-4地號,494.27,,,,1141203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,143338,290,,0.0,0,,RPPNMLTKKIKGFAZ57DA,0.0,0.0,0.0,無,
北竿鄉,土地,里段702地號,303.26,都市：其他:風景區,,,1141224,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,3298,,0.0,0,,RPPNMLOLKIKGFAZ17DA,0.0,0.0,0.0,無,
南竿鄉,土地,仁愛段347-5地號,326.95,,,,1141225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,760159,2325,,0.0,0,,RPPNMLMJJHLGFAZ66DA,0.0,0.0,0.0,無,
南竿鄉,建物,連江縣南竿鄉南竿鄉介壽村１之７號,0.0,,,,1141110,土地0建物1車位0,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120601,74.36,3,2,2,有,有,2362500,31771,,0.0,0,建物坐落地號：介壽段33地號；,RPPNMLSKJIKGFAZ37DA,62.08,0.0,0.0,有,
南竿鄉,建物,連江縣南竿鄉南竿鄉介壽村１之８號,0.0,,,,1141110,土地0建物1車位0,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120601,92.37,3,2,2,有,有,2933700,31760,,0.0,0,建物坐落地號：介壽段33地號；,RPQNMLSKJIKGFAZ47DA,74.86,0.0,5.23,有,
南竿鄉,土地,仁愛段455地號,84.69,住,,,1141127,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,9446,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLRKKIKGFAZ37DA,0.0,0.0,0.0,無,
北竿鄉,土地,塘岐段79-1地號,48.04,都市：其他:保護區,,,1141015,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,49241,1025,,0.0,0,,RPQNMLLJKIKGFAZ76DA,0.0,0.0,0.0,無,
北竿鄉,土地,塘岐段87-1地號,168.0,都市：其他:保護區,,,1141015,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,290976,1732,,0.0,0,,RPRNMLLJKIKGFAZ86DA,0.0,0.0,0.0,無,
