鄉鎮市區,土地位置建物門牌,總價元,季度,縣市
大同區,臺北市大同區民權西路２９２巷２２號,8230000,2025Q2,臺北市
松山區,臺北市松山區撫遠街４００巷１６號二樓,6750000,2025Q2,臺北市
文山區,臺北市文山區興隆路一段１０１號六樓,13800000,2025Q2,臺北市
信義區,臺北市信義區林口街８０巷３２號,3230000,2025Q2,臺北市
文山區,臺北市文山區保儀路１６５號二樓,12500000,2025Q2,臺北市
萬華區,臺北市萬華區漢中街１４７巷５號三樓之２,2971756,2025Q2,臺北市
士林區,臺北市士林區德行東路１０４巷９弄８號三樓,7950000,2025Q2,臺北市
中山區,臺北市中山區建國北路一段１５號三樓,114100000,2025Q2,臺北市
內湖區,臺北市內湖區成功路二段３１２巷３號三樓,2500000,2025Q2,臺北市
內湖區,臺北市內湖區成功路四段１８８號十四樓之１２,21830000,2025Q2,臺北市
文山區,臺北市文山區興隆路三段２２１巷８弄８號五樓,10750000,2025Q2,臺北市
萬華區,臺北市萬華區峨眉街１２５巷２０之１號四樓,15600000,2025Q2,臺北市
內湖區,臺北市內湖區內湖路一段９１巷１６０號三樓,11480000,2025Q2,臺北市
大安區,臺北市大安區信義路四段９８號九樓,20800000,2025Q2,臺北市
大安區,臺北市大安區永康街１７巷２８號三樓之１,25000000,2025Q2,臺北市
士林區,臺北市士林區福國路９５號五樓之１７,2450000,2025Q2,臺北市
文山區,臺北市文山區萬寧街２８號六樓,26000000,2025Q2,臺北市
中山區,臺北市中山區農安街６號三樓之９,13800000,2025Q2,臺北市
士林區,臺北市士林區德行東路２５８號十三樓之１,51300000,2025Q2,臺北市
大安區,臺北市大安區復興南路二段１７１巷３２號十樓,4500000,2025Q2,臺北市
中正區,臺北市中正區愛國東路１１６巷５號四樓之１,51380000,2025Q2,臺北市
內湖區,臺北市內湖區內湖路一段９１巷１５８號三樓,11480000,2025Q2,臺北市
北投區,臺北市北投區溫泉路１４３之１９號五樓,4750000,2025Q2,臺北市
北投區,臺北市北投區公路２３４巷７號二樓,2400000,2025Q2,臺北市
中山區,臺北市中山區松江路６０號十樓,97000000,2025Q2,臺北市
松山區,臺北市松山區八德路三段２２５號十一樓之１１,15500000,2025Q2,臺北市
士林區,臺北市士林區社正路６４巷１弄１２號一樓,300000,2025Q2,臺北市
北投區,臺北市北投區光明路１６８號八樓之３,15000000,2025Q2,臺北市
南港區,臺北市南港區松河街６５０號三樓,13200000,2025Q2,臺北市
大安區,臺北市大安區安和路１４９號四樓之１,62600000,2025Q2,臺北市
大同區,臺北市大同區承德路一段２３號六樓之１,76500000,2025Q2,臺北市
中山區,臺北市中山區林森北路１０７巷４１號六樓之１,8820000,2025Q2,臺北市
中山區,臺北市中山區吉林路５１巷５號三樓,8020000,2025Q2,臺北市
北投區,臺北市北投區中山路１之６號五樓之５,8000000,2025Q2,臺北市
中正區,臺北市中正區延平南路１１０號四樓之７９,3460000,2025Q2,臺北市
內湖區,臺北市內湖區瑞光路２０８號九樓,43190000,2025Q2,臺北市
北投區,臺北市北投區石牌路二段３１５巷２３號,40530000,2025Q2,臺北市
北投區,臺北市北投區行義路１３０巷６之１號七樓,12500000,2025Q2,臺北市
文山區,臺北市文山區興德路１８號三樓,13000000,2025Q2,臺北市
文山區,臺北市文山區景明街７０號二樓,15100000,2025Q2,臺北市
士林區,臺北市士林區中山北路七段５１巷１２號二樓,10600000,2025Q2,臺北市
士林區,臺北市士林區大東路１２８號四樓,19000000,2025Q2,臺北市
北投區,臺北市北投區立農街二段２７３巷１７號三樓,7000000,2025Q2,臺北市
大安區,臺北市大安區忠孝東路四段７７號,22500000,2025Q2,臺北市
中正區,臺北市中正區重慶南路三段２３號七樓,30000000,2025Q2,臺北市
文山區,臺北市文山區興隆路三段１３７號十樓之５,12000000,2025Q2,臺北市
中正區,臺北市中正區北平西路６之２號,33350000,2025Q2,臺北市
內湖區,臺北市內湖區內湖路一段９１巷１６０號六樓,13760000,2025Q2,臺北市
中山區,臺北市中山區四平街１４號二樓,19000000,2025Q2,臺北市
北投區,臺北市北投區承德路七段１５８號十五樓,60580000,2025Q2,臺北市
大安區,臺北市大安區潮州街４７號四樓之１,9500000,2025Q2,臺北市
大安區,臺北市大安區延吉街１６０巷１１號地下室,12000000,2025Q2,臺北市
中正區,臺北市中正區衡陽路５１號五樓之５,65000000,2025Q2,臺北市
松山區,臺北市松山區南京東路三段３３５巷２３號五樓之１９,10780000,2025Q2,臺北市
北投區,臺北市北投區中山路２８之１１號五樓,4880000,2025Q2,臺北市
中正區,臺北市中正區重慶南路三段１５巷６號,14050000,2025Q2,臺北市
大同區,臺北市大同區南京西路２４３號,68000000,2025Q2,臺北市
內湖區,臺北市內湖區內湖路二段１０３巷１０１之１號一樓,27600000,2025Q2,臺北市
中山區,臺北市中山區中山北路一段８３巷５號四樓之２,9600000,2025Q2,臺北市
信義區,臺北市信義區松仁路２５３巷１０號二樓,47500000,2025Q2,臺北市
大安區,臺北市大安區和平東路三段１巷３２號七樓,25600000,2025Q2,臺北市
內湖區,臺北市內湖區石潭路６３號二樓,21865000,2025Q2,臺北市
信義區,臺北市信義區松勇路５３巷５７號,253000000,2025Q2,臺北市
文山區,臺北市文山區景興路３００號二十二樓之６,28450000,2025Q2,臺北市
中正區,臺北市中正區大埔街２５巷２之２號三樓,5400000,2025Q2,臺北市
萬華區,臺北市萬華區萬大路３２２巷８號三樓,4000000,2025Q2,臺北市
大同區,臺北市大同區酒泉街１０３巷５之１號二樓,13000000,2025Q2,臺北市
萬華區,臺北市萬華區西園路一段２２０巷４３號,3750000,2025Q2,臺北市
大同區,臺北市大同區重慶北路三段２５巷１１弄９號三樓,4000000,2025Q2,臺北市
內湖區,臺北市內湖區金湖路３４７巷１２１弄５號三樓,50280000,2025Q2,臺北市
中山區,臺北市中山區錦州街４１４號三樓,3300000,2025Q2,臺北市
中山區,臺北市中山區新生北路三段８８巷４１號,6000000,2025Q2,臺北市
信義區,臺北市信義區忠孝東路五段７１巷８號四樓,24000000,2025Q2,臺北市
文山區,臺北市文山區木柵路一段３１３號二十七樓之２,67800000,2025Q2,臺北市
信義區,臺北市信義區信義路五段１１９號十八樓之１,18000000,2025Q2,臺北市
文山區,臺北市文山區木新路三段１５５巷４弄５號,18800000,2025Q2,臺北市
大同區,臺北市大同區長安西路４５之１號二樓之１,49000000,2025Q2,臺北市
萬華區,臺北市萬華區艋舺大道２５０號三樓,8000000,2025Q2,臺北市
中山區,臺北市中山區大直街６７巷４５號,23700000,2025Q2,臺北市
內湖區,臺北市內湖區內湖路一段９１巷１５６號四樓,13480000,2025Q2,臺北市
信義區,臺北市信義區永吉路１２７巷１１弄６號三樓之２,18500000,2025Q2,臺北市
松山區,臺北市松山區三民路１０８號三樓之２０,15100000,2025Q2,臺北市
信義區,臺北市信義區永吉路３０巷９６號七樓,35000000,2025Q2,臺北市
大安區,臺北市大安區新生南路一段１４５號十二樓之２,31480000,2025Q2,臺北市
大安區,臺北市大安區復興南路二段１７１巷３２號十樓,4500000,2025Q2,臺北市
中正區,臺北市中正區博愛路１２２號十樓之２,11514290,2025Q2,臺北市
中正區,臺北市中正區博愛路１２２號十樓之３,13785710,2025Q2,臺北市
中正區,臺北市中正區銅山街１２號十樓,202380000,2025Q2,臺北市
