鄉鎮市區,土地位置建物門牌,總價元,季度,縣市
南港區,臺北市南港區合順街８巷５弄３２號,10500000,2026Q1,臺北市
文山區,臺北市文山區景中街３０巷１２號二樓,1100000,2026Q1,臺北市
北投區,臺北市北投區中央南路二段１２之３號三樓,12750000,2026Q1,臺北市
北投區,臺北市北投區大業路５９６號二樓,15200000,2026Q1,臺北市
萬華區,臺北市萬華區中華路二段３８、３８之１、３８之２、３８之３號,3250000,2026Q1,臺北市
萬華區,臺北市萬華區西藏路４２８巷９號十三樓之２,9000000,2026Q1,臺北市
松山區,臺北市松山區健康路１８３之１號六樓,4800000,2026Q1,臺北市
中山區,臺北市中山區松江路４２號十一樓之８,10400000,2026Q1,臺北市
南港區,臺北市南港區經貿二路１５７巷３６弄１０１號十樓之１,22550000,2026Q1,臺北市
南港區,臺北市南港區松河街３５８號四樓,58000000,2026Q1,臺北市
北投區,臺北市北投區中央北路三段１２４號二樓,7150000,2026Q1,臺北市
大安區,臺北市大安區敦化南路一段１３８號十五樓之１,183050000,2026Q1,臺北市
松山區,臺北市松山區光復北路１５５巷１５號二樓,29500000,2026Q1,臺北市
中山區,臺北市中山區長春路１３７巷５號,62000000,2026Q1,臺北市
內湖區,臺北市內湖區東湖路７巷７之１號五樓,27500000,2026Q1,臺北市
北投區,臺北市北投區立農街一段２７９巷２弄７號,12000000,2026Q1,臺北市
大安區,臺北市大安區信義路三段９９巷９號五樓,5000000,2026Q1,臺北市
萬華區,臺北市萬華區西園路二段２９２之２號,3660000,2026Q1,臺北市
萬華區,臺北市萬華區昆明街２３５號四樓,18000000,2026Q1,臺北市
中山區,臺北市中山區新生北路二段４０號四樓之１,15880000,2026Q1,臺北市
松山區,臺北市松山區南京東路三段３３５巷２３號四樓之３,10100000,2026Q1,臺北市
大安區,臺北市大安區永康街４巷１８號六樓之５,17700000,2026Q1,臺北市
大同區,臺北市大同區民權西路１６０巷１８弄６號十四樓之５,22400000,2026Q1,臺北市
中山區,臺北市中山區敬業三路１６２巷６０號十樓,38880000,2026Q1,臺北市
南港區,臺北市南港區東新街１２６號四樓,45280000,2026Q1,臺北市
大同區,臺北市大同區華陰街９２號,3300000,2026Q1,臺北市
大同區,臺北市大同區延平北路二段１７９號,21000000,2026Q1,臺北市
中山區,臺北市中山區松江路２９３之８１１號,32800000,2026Q1,臺北市
松山區,臺北市松山區八德路四段７６５號十二樓之４,3000000,2026Q1,臺北市
南港區,臺北市南港區重陽路２８２號,33816060,2026Q1,臺北市
文山區,臺北市文山區和興路９４號,10000000,2026Q1,臺北市
中正區,臺北市中正區臨沂街７５巷１５號地下之１２,6500000,2026Q1,臺北市
松山區,臺北市松山區復興北路３１３巷３４號三樓,41800000,2026Q1,臺北市
中山區,臺北市中山區新生北路二段７３號二樓之１１,3900000,2026Q1,臺北市
大安區,臺北市大安區通化街２０號,9919600,2026Q1,臺北市
大同區,臺北市大同區承德路一段６９巷１０號五樓,5500000,2026Q1,臺北市
萬華區,臺北市萬華區貴陽街二段３９號十七樓之２,3340000,2026Q1,臺北市
南港區,臺北市南港區福德街３８７號三樓,25000000,2026Q1,臺北市
文山區,臺北市文山區木柵路三段１６９巷６號三樓,31000000,2026Q1,臺北市
中山區,臺北市中山區中山北路二段７７巷３７號十二樓之１,4200000,2026Q1,臺北市
松山區,臺北市松山區八德路四段１９７號二樓,2600000,2026Q1,臺北市
萬華區,臺北市萬華區隆昌街３６號二樓之６,2800000,2026Q1,臺北市
萬華區,臺北市萬華區武昌街二段７２號八樓之１０,7080000,2026Q1,臺北市
信義區,臺北市信義區忠孝東路五段４２３巷４弄５號三樓,9000000,2026Q1,臺北市
士林區,臺北市士林區雨農路９０號十一樓,5560000,2026Q1,臺北市
萬華區,臺北市萬華區萬大路１８７巷３弄７號五樓,2440000,2026Q1,臺北市
中山區,臺北市中山區林森北路１４７號八樓,5500000,2026Q1,臺北市
士林區,臺北市士林區天玉街３６之１號,41500000,2026Q1,臺北市
文山區,臺北市文山區試院路４巷４號三樓,2850000,2026Q1,臺北市
中正區,臺北市中正區延平南路１７１巷７號,2500000,2026Q1,臺北市
中山區,臺北市中山區林森北路５０號四樓之７,14372400,2026Q1,臺北市
大同區,臺北市大同區承德路二段１４５號三樓,16300000,2026Q1,臺北市
大同區,臺北市大同區歸綏街７８之９號,5500000,2026Q1,臺北市
大安區,臺北市大安區忠孝東路四段７７號,24000000,2026Q1,臺北市
內湖區,臺北市內湖區東湖路１１３巷５弄９號五樓,8900000,2026Q1,臺北市
大安區,臺北市大安區復興南路二段３０７號五樓,90280000,2026Q1,臺北市
萬華區,臺北市萬華區西園路一段２１２巷９號四樓,5300000,2026Q1,臺北市
內湖區,臺北市內湖區內湖路二段１０３巷４８號三樓,28000000,2026Q1,臺北市
松山區,臺北市松山區北寧路６６號四樓,29000000,2026Q1,臺北市
大安區,臺北市大安區新生南路一段１６１巷８號之１五樓,62500000,2026Q1,臺北市
大安區,臺北市大安區新生南路一段１６１巷８號之１四樓,62500000,2026Q1,臺北市
中山區,臺北市中山區德惠街７９巷２號,6500000,2026Q1,臺北市
內湖區,臺北市內湖區新明路３９７巷４弄６號,24000000,2026Q1,臺北市
南港區,臺北市南港區南港路三段１０６巷５弄８號二樓,7343300,2026Q1,臺北市
北投區,臺北市北投區新市街７３號四樓,7300000,2026Q1,臺北市
